hts8	year	brief_description	quantity_1_code	quantity_2_code	wto_binding_code	mfn_rate_type_code	mfn_ave	mfn_ad_val_rate	mfn_specific_rate	mfn_other_rate	gsp_indicator	gsp_ctry_excluded	gsp_ctry_excluded2	gsp_ctry_excluded3	gsp_ctry_excluded4	apta_indicator	civil_air_indicator	nafta_canada_ind	canada_rate_type_code	canada_ave	canada_ad_val_rate	canada_specific_rate	canada_other_rate	nafta_mexico_ind	mexico_rate_type_code	mexico_ave	mexico_ad_val_rate	mexico_specific_rate	mexico_other_rate	cbi_indicator	cbi_rate_type_code	cbi_ave	cbi_ad_val_rate	cbi_specific_rate	cbi_other_rate	israel_fta_indicator	israel_rate_type_code	israel_ave	israel_ad_val_rate	israel_specific_rate	israel_other_rate	atpa_indicator	atpa_rate_type_code	atpa_ave	atpa_ad_val_rate	atpa_specific_rate	atpa_other_rate	pharmaceutical_ind	dyes_indicator	col2_rate_type_code	col2_ave	col2_ad_val_rate	col2_specific_rate	col2_other_rate	begin_effect_date	end_effective_date	additional_tariff_num_ind	unitvalue
1011100	97	"Live purebred breeding horses"	"NO"	""	"B"	0	0	0	0	0	""	""	""	""		""	""	""		0				""		0				""		0				""		0				""		0				""	""	0	0	0	0	0	"1/1/1989"	"12/31/1999"		7426.95
1011900	97	"Live horses other than purebred breeding horses"	"NO"	""	"B"	0	0	0	0	0	""	""	""	""		""	""	""		0				""		0				""		0				""		0				""		0				""	""	7	.2	.2	0	0	"1/1/1990"	"12/31/1999"		5150.83
1012010	97	"Live purebred breeding asses"	"NO"	""	"B"	0	0	0	0	0	""	""	""	""		""	""	""		0				""		0				""		0				""		0				""		0				""	""	0	0	0	0	0	"1/1/1989"	"12/31/1999"		
1012020	97	"Live asses other than purebred breeding asses"	"NO"	""	"B"	7	.109	.109	0	0	"A+"	""	""	""		""	""	"CA"		0	0	0	0	"MX"		0	0	0	0	"E"		0	0	0		"IL"		0				"J"		0	0	0		""	""	7	.15	.15	0	0	"5/31/1997"	"12/31/1997"		45.4549
1012030	97	"Mules and hinnies imported for immediate slaughter"	"NO"	""	"B"	0	0	0	0	0	""	""	""	""		""	""	""		0				""		0				""		0				""		0				""		0				""	""	0	0	0	0	0	"1/1/1989"	"12/31/1999"		
1012040	97	"Mules and hinnies not imported for immediate slaughter"	"NO"	""	"B"	7	.073	.073	0	0	"A+"	""	""	""		""	""	"CA"		.01	.01	0	0	"MX"		0	0	0	0	"E"		0	0	0		"IL"		0				"J"		0	0	0		""	""	7	.2	.2	0	0	"5/31/1997"	"12/31/1997"		937.5
1021000	97	"Live purebred bovine breeding animals"	"NO"	""	"B"	0	0	0	0	0	""	""	""	""		""	""	""		0				""		0				""		0				""		0				""		0				""	""	0	0	0	0	0	"1/1/1989"	"12/31/1999"		965.647
1029020	97	"Cows imported specially for dairy purposes"	"NO"	"KG"	"B"	0	0	0	0	0	""	""	""	""		""	""	""		0				""		0				""		0				""		0				""		0				""	""	2	.00008	0	.066	0	"1/1/1990"	"12/31/1999"		822.817
1029040	97	"Live bovine animals other than purebred or those imported for dairy purposes"	"NO"	"KG"	"B"	2	.000029	0	.016	0	"A+"	""	""	""		""	""	"CA"		0	0	0	0	"MX"		0	0	0	0	"E"		0	0	0		"IL"		0				"J"		0	0	0		""	""	2	.000101	0	.055	0	"5/31/1997"	"12/31/1997"		547.198
1031000	97	"Live purebred breeding swine"	"NO"	""	"B"	0	0	0	0	0	""	""	""	""		""	""	""		0				""		0				""		0				""		0				""		0				""	""	0	0	0	0	0	"9/3/1995"	"12/31/1999"		375.611
1039100	97	"Live swine, other than purebred breeding swine, weighing less than 50 kg each"	"NO"	"KG"	"B"	0	0	0	0	0	""	""	""	""		""	""	""		0				""		0				""		0				""		0				""		0				""	""	2	.001331	0	.044	0	"9/3/1995"	"12/31/1999"		33.0494
1039200	97	"Live swine, other than purebred breeding swine, weighing 50 kg or more"	"NO"	"KG"	"B"	0	0	0	0	0	""	""	""	""		""	""	""		0				""		0				""		0				""		0				""		0				""	""	2	.000354	0	.044	0	"9/3/1995"	"12/31/1999"		124.138
1041000	97	"Live sheep"	"NO"	"KG"	"B"	0	0	0	0	0	""	""	""	""		""	""	""		0				""		0				""		0				""		0				""		0				""	""	1	.021907	0	3	0	"6/1/1996"	"12/31/1999"		136.94
1042000	97	"Live goats"	"NO"	""	"B"	1	.003621	0	1.09	0	"A+"	""	""	""		""	""	"CA"		0	0	0	0	"MX"		0	0	0	0	"E"		0	0	0		"IL"		0				"J"		0	0	0		""	""	1	.009967	0	3	0	"5/31/1997"	"12/31/1997"		301.006
1051100	97	"Live chickens weighing not over 185 g each"	"NO"	""	"B"	1	.008978	0	.015	0	"A+"	""	""	""		""	""	"CA"		.001197	0	.002	0	"MX"		0	0	0	0	"E"		0	0	0		"IL"		0				"J"		0	0	0		""	""	1	.023943	0	.04	0	"5/31/1997"	"12/31/1997"		1.67067
1051200	97	"Live turkeys weighing not more than over 185 g each"	"NO"	""	"B"	1	.006311	0	.015	0	"A+"	""	""	""		""	""	"CA"		.000841	0	.002	0	"MX"		0	0	0	0	"E"		0	0	0		"IL"		0				"J"		0	0	0		""	""	1	.016829	0	.04	0	"5/31/1997"	"12/31/1997"		2.37689
1051900	97	"Live ducks, geese and guineas, weighing not more than 185 g each"	"NO"	""	"B"	1	.019812	0	.015	0	"A+"	""	""	""		""	""	"CA"		.002642	0	.002	0	"MX"		0	0	0	0	"E"		0	0	0		"IL"		0				"J"		0	0	0		""	""	1	.052831	0	.04	0	"5/31/1997"	"12/31/1997"		.757125
1059100	97	""	""	""	""						""	""	""	""		""	""	""						""						""						""						""						""	""						""	""		
1059200	97	"Live chickens weighing more than 185 g but not not more than 2000 g each"	"NO"	"KG"	"B"	2	.013735	0	.032	0	"A+"	""	""	""		""	""	"CA"		.001717	0	.004	0	"MX"		0	0	0	0	"E"		0	0	0		"IL"		0				"J"		0	0	0		""	""	2	.075544	0	.176	0	"5/31/1997"	"12/31/1997"		2.32975
1059300	97	"Live chickens weighing more than 2000 g each"	"NO"	"KG"	"B"	2	.01058	0	.032	0	"A+"	""	""	""		""	""	"CA"		.001323	0	.004	0	"MX"		0	0	0	0	"E"		0	0	0		"IL"		0				"J"		0	0	0		""	""	2	.058192	0	.176	0	"5/31/1997"	"12/31/1997"		3.02445
1059900	97	"Live ducks, geese, turkeys and guineas, weighing over 185 g each"	"NO"	"KG"	"B"	2	.005495	0	.032	0	"A+"	""	""	""		""	""	"CA"		.000687	0	.004	0	"MX"		0	0	0	0	"E"		0	0	0		"IL"		0				"J"		0	0	0		""	""	2	.030222	0	.176	0	"5/31/1997"	"12/31/1997"		5.82356
1060010	97	"Live birds, other than poultry"	"NO"	""	"B"	7	.029	.029	0	0	"A"	""	""	""		""	""	"CA"		0	0	0	0	"MX"		0	0	0	0	"E"		0	0	0		"IL"		0				"J"		0	0	0		""	""	7	.2	.2	0	0	"1/1/1997"	"12/31/1997"		8.61564
1060030	97	"Live foxes"	"NO"	""	"B"	7	.062	.062	0	0	"A+"	""	""	""		""	""	"CA"		0	0	0	0	"MX"		0	0	0	0	"E"		0	0	0		"IL"		0				"J"		0	0	0		""	""	7	.15	.15	0	0	"5/31/1997"	"12/31/1997"		418.071
1060050	97	"Live animals other than horses, asses, mules, hinnies, bovines, swine, sheep, go"	"NA"	""	"B"	0	0	0	0	0	""	""	""	""		""	""	""		0				""		0				""		0				""		0				""		0				""	""	7	.15	.15	0	0	"1/1/1993"	"12/31/1999"		212.018
2011000	97	""	""	""	""						""	""	""	""		""	""	""						""						""						""						""						""	""						""	""		
2011005	97	"Bovine carcasses and halves, fresh or chld., descr. in gen. note 15 of the HTS"	"KG"	""	"B"	1	.012152	0	.044	0	"A+"	""	""	""		""	""	"CA"		0	0	0	0	"MX"		0	0	0	0	"E*"		0	0	0		"IL"		0				"J"		0	0	0		""	""	1	.036455	0	.132	0	"5/31/1997"	"12/31/1999"		3.62085
