Subhead,Description,Canada,,USA,,Mexico,
,,,,,,,
0204.43,"Sheep cuts, boneless, frozen",0204.43.10,A,0204.43.20,A,0204.43.01,C
,,0204.43.20,A,0204.43.40,A,,
,,,,,,,
0204.50,"Goat meat, fresh, chilled or frozen",0204.50.00,D,0204.50.00,D,0204.50.01,C
,,,,,,,
0205.00,"Horse, ass, mule or hinny meat, fresh, chilled or frozen",0205.00.00,D,0205.00.00,D,0205.00.01,B
,,,,,,,
0206.10,"Bovine edible offal, fresh or chilled",0206.10.00,D,0206.10.00,D,0206.10.01,C
,,,,,,,
0206.21,"Bovine tongues, edible offal, frozen",0206.21.00,D,0206.21.00,D,0206.21.01,C
,,,,,,,
0206.22,"Bovine livers, edible offal, frozen",0206.22.00,D,0206.22.00,D,0206.22.01,C
,,,,,,,
0206.29,"Bovine edible offal, frozen nes",0206.29.00,D,0206.29.00,D,0206.29.99,C
,,,,,,,
0206.30,"Swine edible offal, fresh or chilled",0206.30.00,D,0206.30.00,D,0206.30.01,C
,,,,,,0206.30.99,C
,,,,,,,
0206.41,"Swine livers, edible offal, frozen",0206.41.00,D,0206.41.00,D,0206.41.01,C
,,,,,,,
0206.49,"Swine edible offal, frozen nes",0206.49.00,D,0206.49.00,D,0206.49.01,D
,,,,,,0206.49.99,C
,,,,,,,
0206.80,"Sheep, goats, asses, mules or hinnies edible offal, fresh or",0206.80.00,D,0206.80.00,D,0206.80.01,B
,,,,,,,
0206.90,"Sheep, goats, asses, mules or hinnies edible offal, frozen",0206.90.00,D,0206.90.00,D,0206.90.01,B
,,,,,,,
0207.10,"Poultry, domestic, whole, fresh or chilled",0207.10.00,Ex,0207.10.20,A,0207.10.01,EX
,,,,0207.10.40,A,,
,,,,,,,
0207.21,"Fowls, domestic, whole, frozen",0207.21.00,Ex,0207.21.00,A,0207.21.01,EX
,,,,,,,
0207.22,"Turkeys, domestic, whole, frozen",0207.22.00,Ex,0207.22.20,A,0207.22.01,EX
,,,,0207.22.40,A,,
,,,,,,,
0207.23,"Ducks, geese and guinea fowls, domestic, whole, frozen",0207.23.00,Bg,0207.23.00,A,0207.23.01,CAg
,,,,,,,
0207.31,"Fatty livers of geese or ducks, domestic fresh or chilled",0207.31.00,D,0207.31.00,A,0207.31.01,C
,,,,,,,
0207.39,"Poultry cuts and offal, domestic except geese or ducks livers",0207.39.00,Ex,0207.39.00,A,0207.39.01,EX
,,,,,,0207.39.99,EX
,,,,,,,
0207.41,"Fowl cuts and offal, domestic, except livers, frozen",0207.41.00,Ex,0207.41.00,A,0207.41.0X,EX
,,,,,,0207.41.0Y,EX
,,,,,,0207.41.0Z,EX
,,,,,,,
,,,,,,0207.41.01,Bp
,,,,,,,
0207.42,"Turkey cuts and offal, except livers, frozen",0207.42.00,Ex,0207.42.00,A,0207.42.0Y,EX
,,,,,,0207.42.0Z,EX
,,,,,,0207.42.0Z,EX
,,,,,,0207.42.01,Bp
,,,,,,,
0207.43,"Duck, geese or guinea fowl cuts and offal, domestic, except",0207.43.00,Bg,0207.43.00,A,0207.43.01,CAg
,,,,,,,
0207.50,"Poultry livers, domestic, frozen",0207.50.00,D,0207.50.00,A,0207.50.01,EX
,,,,,,,
0208.10,"Rabbit or hare meat and edible meat offal, fresh, chilled or",0208.10.00,D,0208.10.00,A,0208.10.01,C
,,,,,,,
0208.20,"Frog legs, fresh, chilled or frozen",0208.20.00,D,0208.20.00,D,0208.20.01,A
,,,,,,,
0208.90,"Meat and edible meat offal, nes fresh, chilled or frozen",0208.90.00,D,0208.90.20,D,0208.90.99,C
,,,,0208.90.30,A,,
,,,,0208.90.40,A,,
,,,,,,,
0209.00,"Pig fat lean meat free and poultry fat unrendered, fresh,",0209.00.10,D,0209.00.00,A,0209.00.0X,EX
,,0209.00.20,Ex,,,0209.00.01,CAg
,,,,,,,
0210.11,"Hams, shoulders and cuts thereof, of swine bone in, cured",0210.11.00,A,0210.11.00,A,0210.11.01,Ctq
,,,,,,,
0210.12,"Bellies, streaky and cuts thereof, swine cured",0210.12.00,A,0210.12.00,A,0210.12.01,Ctq
,,,,,,,
0210.19,"Swine meat cured, nes",0210.19.10,D,0210.19.00,A,0210.19.99,Ctq
,,0210.19.90,A,,,,
,,,,,,,
0210.20,Bovine meat cured,0210.20.00,A,0210.20.00,A,0210.20.01,C
,,,,,,,
0210.90,"Meat and edible meat offal cured nes and edible meat or offal,",0210.90.10,Ex,0210.90.20,A,0210.90.01,C
,,0210.90.90,A,0210.90.40,A,0210.90.02,C
,,,,,,0210.90.99,EX
,,,,,,,
0301.10,"Ornamental fish, live",0301.10.00,D,0301.10.00,D,0301.10.01,A
,,,,,,,
0301.91,"Trout, live",0301.91.00,D,0301.91.00,D,0301.91.01,A
,,,,,,,
0301.92,"Eels, live",0301.92.00,D,0301.92.00,D,0301.92.01,A
,,,,,,,
0301.93,"Carp, live",0301.93.00,D,0301.93.00,D,0301.93.01,A
,,,,,,,
0301.99,"Fish live, nes",0301.99.00,D,0301.99.00,D,0301.99.01,A
,,,,,,0301.99.99,B
,,,,,,,
0302.11,"Trout, fresh or chilled excluding heading No 03.04, livers and",0302.11.00,D,0302.11.00,D,0302.11.01,A
,,,,,,,
0302.12,"Salmon Pacific, Atlantic & Danube, fr or chd excl hd No 03.04,",0302.12.00,D,0302.12.00,D,0302.12.01,A
,,,,,,,
0302.19,"Salmonidae nes, fresh or chilled, excl heading No 03.04, liver",0302.19.00,D,0302.19.00,D,0302.19.99,A
,,,,,,,
,,,,,,,
0302.21,"Halibut, fresh or chilled, excluding heading No 03.04, livers",0302.21.00,D,0302.21.00,D,0302.21.01,B
,,,,,,,
0302.22,"Plaice, fresh or chilled, excl heading No 03.04, livers and",0302.22.00,D,0302.22.00,A,0302.22.01,A
,,,,,,,
0302.23,"Sole, fresh or chilled, excluding heading No 03.04, livers and",0302.23.00,D,0302.23.00,A,0302.23.01,A
,,,,,,,
0302.29,"Flatfish nes, fresh or chilled excluding heading No 03.04,",0302.29.00,D,0302.29.00,A,0302.29.99,A
,,,,,,,
0302.31,"Tunas,albacore or longfinned,fr or chd excl heading No 03.04,",0302.31.00,D,0302.31.00,D,0302.31.01,C
,,,,,,,
0302.32,"Tunas, yellowfin, fresh or chilled, excl heading No 03.04,",0302.32.00,D,0302.32.00,D,0302.32.01,C
,,,,,,,
0302.33,"Skipjack or stripe-bellied bonito, fr or chd,excl heading No",0302.33.00,D,0302.33.00,D,0302.33.01,C
,,,,,,,
0302.39,"Tunas nes, fresh or chilled, excluding heading No 03.04, liver",0302.39.00,D,0302.39.00,D,0302.39.99,C
,,,,,,,
0302.40,"Herrings, fresh or chilled, excluding heading No 03.04, livers",0302.40.00,D,0302.40.00,D,0302.40.01,A
,,,,,,,
0302.50,"Cod, fresh or chilled, excluding heading No 03.04, livers and",0302.50.00,D,0302.50.00,D,0302.50.01,A
,,,,,,,
0302.61,"Sardines,sardinella,brisling or sprats, fr or chd,excl hd No",0302.61.00,D,0302.61.00,A,0302.61.01,B
,,,,,,,
0302.62,"Haddock, fresh or chilled, excluding heading No 03.04, livers",0302.62.00,D,0302.62.00,D,0302.62.01,A
,,,,,,,
0302.63,"Coalfish, fresh or chilled, excluding heading No 03.04, livers",0302.63.00,D,0302.63.00,D,0302.63.01,A
,,,,,,,
0302.64,"Mackerel, fresh or chilled, excluding heading No 03.04, livers",0302.64.00,D,0302.64.00,D,0302.64.01,A
,,,,,,,
0302.65,"Dogfish and other sharks, fresh or chd, excl heading No 03.04,",0302.65.00,D,0302.65.00,A,0302.65.01,A
,,,,,,,
0302.66,"Eels, fresh or chilled, excluding heading No 03.04, livers and",0302.66.00,D,0302.66.00,D,0302.66.01,A
,,,,,,,
0302.69,"Fish nes, fresh or chilled excl heading No 03.04, livers and",0302.69.00,D,0302.69.10,A,0302.69.01,A
,,,,0302.69.20,D,0302.69.99,B
,,,,0302.69.40,A,,
,,,,,,,
0302.70,"Livers and roes, fresh or chilled",0302.70.00,A,0302.70.20,A,0302.70.01,A
,,,,0302.70.40,D,,
,,,,,,,
0303.10,"Salmon, Pacific, frozen, excluding heading No 03.04, livers an",0303.10.00,D,0303.10.00,D,0303.10.01,A
,,,,,,,
0303.21,"Trout, frozen, excluding heading No 03.04, livers and roes",0303.21.00,D,0303.21.00,D,0303.21.01,A
,,,,,,,
0303.22,"Salmon Atlantic,frozen,excluding heading No 03.04, livers and",0303.22.00,D,0303.22.00,D,0303.22.01,A
,,,,,,,
0303.29,"Salmonidae, nes,frozen,excluding heading No 03.04, livers and",0303.29.00,D,0303.29.00,D,0303.29.99,A
,,,,,,,
0303.31,"Halibut, frozen, excluding heading No 03.04, livers and roes",0303.31.00,D,0303.31.00,D,0303.31.01,B
,,,,,,,
0303.32,"Plaice, frozen, excluding heading No 03.04, livers and roes",0303.32.00,D,0303.32.00,A,0303.32.01,A
,,,,,,,
,,,,,,,
0303.33,"Sole, frozen, excluding heading No 03.04, livers and roes",0303.33.00,D,0303.33.00,A,0303.33.01,A
,,,,,,,
0303.39,"Flatfish nes, frozen, excluding heading No 03.04, livers and",0303.39.00,D,0303.39.00,A,0303.39.99,A
,,,,,,,
0303.41,"Tunas, albacore or longfinned, frozen, excl heading No 03.04,",0303.41.00,D,0303.41.00,D,0303.41.01,C
,,,,,,,
0303.42,"Tunas, yellowfin, frozen excluding heading No 03.04, livers an",0303.42.00,D,0303.42.00,D,0303.42.01,C
,,,,,,,
0303.43,"Skipjack or stripe-bellied bonito,frozen excl heading No 03.04",0303.43.00,D,0303.43.00,D,0303.43.01,C
,,,,,,,
0303.49,"Tunas nes, frozen, excluding heading No 03.04, livers and roes",0303.49.00,D,0303.49.00,D,0303.49.01,C
,,,,,,,
0303.50,"Herrings, frozen, excluding heading No 03.04, livers and roes",0303.50.00,D,0303.50.00,D,0303.50.01,A
,,,,,,,
0303.60,"Cod, frozen, excluding heading No 03.04, livers and roes",0303.60.00,D,0303.60.00,D,0303.60.01,A
,,,,,,,
0303.71,"Sardines,sardinella,brisling or sprats, frozen excl hd No",0303.71.00,D,0303.71.00,A,0303.71.01,B
,,,,,,,
0303.72,"Haddock, frozen, excluding heading No 03.04, livers and roes",0303.72.00,D,0303.72.00,D,0303.72.01,A
,,,,,,,
0303.73,"Coalfish, frozen, excluding heading No 03.04, livers and roes",0303.73.00,D,0303.73.00,D,0303.73.01,A
,,,,,,,
0303.74,"Mackerel, frozen, excluding heading No 03.04, livers and roes",0303.74.00,D,0303.74.00,D,0303.74.01,A
,,,,,,,
0303.75,"Dogfish and other sharks, frozen, excl heading No 03.04, liver",0303.75.00,D,0303.75.00,A,0303.75.01,A
,,,,,,,
0303.76,"Eels, frozen, excluding heading No 03.04, livers and roes",0303.76.00,D,0303.76.00,D,0303.76.01,A
,,,,,,,
0303.77,"Sea bass, frozen, excluding heading No 03.04, livers and roes",0303.77.00,D,0303.77.00,A,0303.77.01,A
,,,,,,,
0303.78,"Hake, frozen, excluding heading No 03.04, livers and roes",0303.78.00,D,0303.78.00,D,0303.78.01,A
,,,,,,,
0303.79,"Fish nes, frozen, excluding heading No 03.04, livers and roes",0303.79.00,D,0303.79.20,D,0303.79.99,A
,,,,0303.79.40,A,,
,,,,,,,
0303.80,"Livers and roes, frozen",0303.80.00,A,0303.80.20,A,0303.80.01,A
,,,,0303.80.40,D,,
,,,,,,,
0304.10,"Fish fillets and other fish meat, minced or not, fresh or",0304.10.00,D,0304.10.10,C,0304.10.01,C
,,,,0304.10.30,A,,
,,,,0304.10.40,D,,
,,,,,,,
0304.20,Fish fillets frozen,0304.20.00,D,0304.20.20,D,0304.20.01,C
,,,,0304.20.30,C,,
,,,,0304.20.50,A,,
,,,,0304.20.60,D,,
,,,,,,,
0304.90,"Fish meat nes, minced or not, frozen",0304.90.00,D,0304.90.10,D,0304.90.99,B
,,,,0304.90.90,A,,
,,,,,,,
,,,,,,,
0305.10,Fish meal fit for human consumption,0305.10.00,A,0305.10.20,D,0305.10.01,A
,,,,0305.10.40,A,,
,,,,,,,
0305.20,"Livers and roes, dried, smoked, salted or in brine",0305.20.00,A,0305.20.20,A,0305.20.01,A
,,,,0305.20.40,D,,
,,,,,,,
0305.30,"Fish fillets, dried, salted or in brine but not smoked",0305.30.00,D,0305.30.20,B,0305.30.01,B
,,,,0305.30.40,B,,
,,,,0305.30.60,D,,
,,,,,,,
0305.41,"Salmon, Pacific, Atlantic and Danube, smoked including fillets",0305.41.00,D,0305.41.00,A,0305.41.01,A
,,,,,,,
0305.42,"Herrings smoked, including fillets",0305.42.00,D,0305.42.00,D,0305.42.01,A
,,,,,,,
0305.49,"Fish nes, smoked including fillets",0305.49.00,D,0305.49.20,A,0305.49.01,A
,,,,0305.49.40,D,0305.49.99,A
,,,,,,,
0305.51,"Cod dried, whether or not salted but not smoked",0305.51.00,D,0305.51.00,A,0305.51.01,A
,,,,,,0305.51.99,A
,,,,,,,
0305.59,"Fish nes, dried, whether or not salted but not smoked",0305.59.00,D,0305.59.20,A,0305.59.01,A
,,,,0305.59.40,A,0305.59.99,A
,,,,,,,
0305.61,"Herrings, salted and in brine, but not dried or smoked",0305.61.00,D,0305.61.20,A,0305.61.01,A
,,,,0305.61.40,D,,
,,,,,,,
0305.62,"Cod, salted and in brine, but not dried or smoked",0305.62.00,D,0305.62.00,D,0305.62.01,A
,,,,,,,
0305.63,"Anchovies, salted and in brine, but not dried or smoked",0305.63.00,D,0305.63.20,A,0305.63.01,A
,,,,0305.63.40,A,,
,,,,0305.63.60,D,,
,,,,,,,
0305.69,"Fish nes, salted and in brine, but not dried or smoked",0305.69.00,D,0305.69.10,D,0305.69.99,A
,,,,0305.69.20,A,,
,,,,0305.69.30,D,,
,,,,0305.69.40,A,,
,,,,0305.69.50,A,,
,,,,0305.69.60,A,,
,,,,,,,
0306.11,"Rock lobster & other sea crawfish,frozen in shell or not, incl",0306.11.00,C,0306.11.00,D,0306.11.01,C
,,,,,,,
0306.12,"Lobsters nes, frozen, in shell, boiled",0306.12.00,D,0306.12.00,D,0306.12.01,B
,,,,,,,
0306.13,"Shrimps and prawns, frozen, in shell or not, including boiled",0306.13.00,D,0306.13.00,D,0306.13.01,C
,,,,,,,
0306.14,"Crabs frozen, in shell or not, including boiled in shell",0306.14.00,A,0306.14.20,A,0306.14.01,A
,,,,0306.14.40,D,,
,,,,,,,
0306.19,"Crustaceans nes, frozen, in shell or not including boiled in",0306.19.00,A,0306.19.00,D,0306.19.99,A
,,,,,,,
0306.21,"Rock lobster & other sea crawfish not fz,in shell or not, incl",0306.21.00,C,0306.21.00,D,0306.21.01,C
,,,,,,,
,,,,,,,
0306.22,"Lobsters nes, not frozen, in shell, including boiled in shell",0306.22.00,D,0306.22.00,D,0306.22.01,B
,,,,,,,
0306.23,"Shrimps and prawns, not frozen, in shell or not, including",0306.23.00,D,0306.23.00,D,0306.23.01,C
,,,,,,,
0306.24,"Crabs, not frozen, in shell or not, including boiled in shell",0306.24.00,A,0306.24.20,A,0306.24.01,A
,,,,0306.24.40,D,,
,,,,,,,
0306.29,"Crustaceans nes, not frozen, in shell or not, including boiled",0306.29.00,A,0306.29.00,D,0306.29.99,A
,,,,,,,
0307.10,"Oysters, shelled or not, live, fresh, chilled,frozen,dried,",0307.10.10,A,0307.10.00,D,0307.10.01,B
,,0307.10.20,D,,,,
,,,,,,,
0307.21,"Scallops, including queen scallops, shelled or not, live, fres",0307.21.00,D,0307.21.00,D,0307.21.01,B
,,,,,,,
0307.29,"Scallops, incl queen scallops, shelled or not,frozen, dried,",0307.29.10,D,0307.29.00,D,0307.29.99,B
,,0307.29.20,B,,,,
,,,,,,,
0307.31,"Mussels, shelled or not, live, fresh or chilled",0307.31.00,D,0307.31.00,D,0307.31.01,B
,,,,,,,
0307.39,"Mussels, shelled or not, frozen, dried, salted or in brine",0307.39.00,D,0307.39.00,D,0307.39.99,B
,,,,,,,
0307.41,"Cuttle fish and squid, shelled or not, live, fresh or chilled",0307.41.00,D,0307.41.00,D,0307.41.01,B
,,,,,,0307.41.99,A
,,,,,,,
0307.49,"Cuttle fish and squid, shelled or not, frozen, dried, salted o",0307.49.00,D,0307.49.00,D,0307.49.01,B
,,,,,,0307.49.99,A
,,,,,,,
0307.51,"Octopus, live, fresh or chilled",0307.51.00,D,0307.51.00,D,0307.51.01,A
,,,,,,,
0307.59,"Octopus, frozen, dried, salted or in brine",0307.59.00,D,0307.59.00,D,0307.59.99,B
,,,,,,,
0307.60,"Snails, (excl sea) shelled or not, live, fresh, chd, fz,",0307.60.00,D,0307.60.00,A,0307.60.01,A
,,,,,,,
0307.91,"Molluscs nes,shelled or not,and aquatic invertebrates nes,live",0307.91.00,D,0307.91.00,D,0307.91.01,A
,,,,,,,
0307.99,"Molluscs nes, shelled or not and aquatic invert nes, fz,",0307.99.00,D,0307.99.00,D,0307.99.99,A
,,,,,,,
0401.10,Milk not concentrated and unsweetened not exceeding 1% fat,0401.10.00,Ex,0401.10.00,A,0401.10.01,EX
,,,,,,0401.10.99,EX
,,,,,,,
0401.20,Milk not concentrated and unsweetened exceeding 1% not,0401.20.00,Ex,0401.20.20,A,0401.20.01,EX
,,,,0401.20.40,A,0401.20.99,EX
,,,,,,,
0401.30,Milk and cream not concentrated and unsweetened exceeding 6%,0401.30.00,Ex,0401.30.10,C,0401.30.01,EX
,,,,0401.30.30,C,0401.30.99,EX
,,,,0401.30.40,C,,
,,,,,,,
0402.10,Milk powder not exceeding 1.5% fat,0402.10.00,Ex,0402.10.00,C,0402.10.01,EX
,,,,,,0402.10.99,EX
,,,,,,,
,,,,,,,
0402.21,Milk and cream powder unsweetened exceeding 1.5% fat,0402.21.10,Ex,0402.21.20,C,0402.21.01,EX
,,0402.21.20,Ex,0402.21.40,C,0402.21.99,EX
,,,,0402.21.60,C,,
,,,,,,,
0402.29,Milk and cream powder sweetened exceeding 1.5% fat,0402.29.10,Ex,0402.29.00,C,0402.29.99,EX
,,0402.29.20,Ex,,,,
,,,,,,,
0402.91,"Milk and cream unsweetened, nes",0402.91.00,Ex,0402.91.20,C,0402.91.01,EX
,,,,0402.91.40,C,0402.91.99,EX
,,,,,,,
0402.99,Milk and cream nes sweetened,0402.99.00,Ex,0402.99.20,C,0402.99.01,EX
,,,,0402.99.40,C,0402.99.99,EX
,,,,0402.99.60,C,,
,,,,,,,
0403.10,"Yogurt concentrated or not, sweetened or not, flavoured or",0403.10.00,Ex,0403.10.00,C,0403.10.01,EX
,,,,,,,
0403.90,"Buttermilk, curdled milk and cream, kephir and ferm or acid",0403.90.10,Ex,0403.90.10,C,0403.90.01,EX
,,0403.90.90,Ex,0403.90.15,C,0403.90.99,EX
,,,,0403.90.20,C,,
,,,,0403.90.40,C,,
,,,,0403.90.50,C,,
,,,,0403.90.60,C,,
,,,,0403.90.70,C,,
,,,,0403.90.75,C,,
,,,,0403.90.80,C,,
,,,,,,,
0404.10,Whey whether or not concentrated or sweetened,0404.10.10,Ex,0404.10.20,A,0404.10.01,EX
,,0404.10.90,Ex,0404.10.40,C,,
,,,,,,,
0404.90,Products consisting of natural milk constituents sweetened or,0404.90.00,Ex,0404.90.05,A,0404.90.99,EX
,,,,0404.90.10,A,,
,,,,0404.90.20,C,,
,,,,0404.90.40,C,,
,,,,0404.90.60,C,,
,,,,,,,
0405.00,Butter and other fats and oils derived from milk,0405.00.10,Ex,0405.00.70,C,0405.00.01,EX
,,0405.00.90,Ex,0405.00.75,C,0405.00.02,EX
,,,,0405.00.80,C,0405.00.03,EX
,,,,,,0405.00.99,EX
,,,,,,,
0406.10,"Cheese, fresh (including whey cheese) unfermented, and curd",0406.10.00,Ex,0406.10.10,A,0406.10.01,EX
,,,,0406.10.50,C,,
,,,,,,,
0406.20,"Cheese, grated or powdered, of all kinds",0406.20.10,Ex,0406.20.10,C,0406.20.01,EX
,,0406.20.90,Ex,0406.20.20,C,,
,,,,0406.20.30,C,,
,,,,0406.20.35,C,,
,,,,0406.20.40,C,,
,,,,0406.20.50,C,,
,,,,0406.20.55,C,,
,,,,0406.20.60,C,,
,,,,,,,
,,,,,,,
0406.30,"Cheese processed, not grated or powdered",0406.30.00,Ex,0406.30.10,C,0406.30.01,EX
,,,,0406.30.20,C,0406.30.99,EX
,,,,0406.30.30,C,,
,,,,0406.30.40,C,,
,,,,0406.30.50,C,,
,,,,0406.30.55,C,,
,,,,0406.30.60,C,,
,,,,,,,
0406.40,"Cheese, blue-veined",0406.40.00,Ex,0406.40.20,C,0406.40.01,EX
,,,,0406.40.40,C,,
,,,,0406.40.60,C,,
,,,,0406.40.80,C,,
,,,,,,,
0406.90,Cheese nes,0406.90.10,Ex,0406.90.05,C,0406.90.01,EX
,,0406.90.90,Ex,0406.90.10,C,0406.90.02,EX
,,,,0406.90.15,C,0406.90.03,EX
,,,,0406.90.20,C,0406.90.04,EX
,,,,0406.90.25,C,0406.90.05,EX
,,,,0406.90.30,C,0406.90.06,EX
,,,,0406.90.35,C,0406.90.99,EX
,,,,0406.90.40,C,,
,,,,0406.90.45,C,,
,,,,0406.90.50,D,,
,,,,0406.90.55,D,,
,,,,0406.90.60,C,,
,,,,0406.90.65,C,,
,,,,0406.90.70,C,,
,,,,0406.90.80,C,,
,,,,,,,
0407.00,"Eggs, bird, in shell, fresh, preserved or cooked",0407.00.00,Ex,0407.00.00,A,0407.00.01,EX
,,,,,,0407.00.02,EX
,,,,,,0407.00.99,EX
,,,,,,,
0408.11,Egg yolks dried,0408.11.00,Ex,0408.11.00,A,0408.11.01,EX
,,,,,,,
0408.19,Egg yolks nes,0408.19.00,Ex,0408.19.00,A,0408.19.99,EX
,,,,,,,
0408.91,"Eggs, bird, not in shell, dried",0408.91.00,Ex,0408.91.00,A,0408.91.01,EX
,,,,,,0408.91.99,EX
,,,,,,,
0408.99,"Eggs, bird, not in shell nes",0408.99.00,Ex,0408.99.00,A,0408.99.01,EX
,,,,,,0408.99.99,EX
,,,,,,,
0409.00,"Honey, natural",0409.00.00,A,0409.00.00,C,0409.00.01,A
,,,,,,,
0410.00,Edible products of animal origin nes,0410.00.00,A,0410.00.00,A,0410.00.01,C
,,,,,,,
0501.00,"Hair, human, unworked washed or scoured or not and waste",0501.00.00,D,0501.00.00,A,0501.00.01,A
,,,,,,,
0502.10,"Bristles, hair and waste of pigs, hogs or boars",0502.10.00,D,0502.10.00,A,0502.10.01,A
,,,,,,,
,,,,,,,
